w1,w2,w3,w4,color,connection
command,exclamation,question,statement,1,types of sentences
crypto,finance,pharma,tech,2,kinds of bros
grown,mown,whale,wine,3,complaint homophones
delay,postpone,shelve,table,0,defer
counter,keg,stool,tap,1,bar fixtures
barge,junk,sub,tug,2,watercraft
barrel,gorilla,hammer,ladder,3,seen in “donkey kong”
field,handle,manage,tackle,0,deal with
bitter,bock,sour,stout,1,styles of beer
hedge,hold,short,trade,2,investment verbs
capitol,chrome,onion,teapot,3,___ dome
grit,heart,nerve,pluck,0,intrepidity
artery,avenue,drag,drive,1,road
construction,graph,tissue,wax,2,kinds of paper
carpet,clay,grass,hard,3,kinds of tennis courts
am,ham,satellite,walkie-talkie,0,types of radio
food,pillow,snowball,water balloon,1,kinds of play fights
devil dog,ding dong,hoho,yodel,2,snack cakes
bar,chicken,knock-knock,light bulb,3,classic joke staples
clove,mace,nutmeg,pepper,0,spices
flail,flop,flounder,tank,1,perform poorly
flip,leaf,riffle,thumb,2,"skim through, as pages"
key,mar,spear,style,3,pop singers minus “s”
fluke,mullet,sole,tang,0,fish
going,once,sold,twice,1,words in an auction-ending phrase
pound,real,sol,yuan,2,global currencies
butter,diva,solo,world,3,words before “cup”
dragon,giant,pixie,troll,0,fantasy creatures
drafts,sent,spam,trash,1,email folders
crush,sprite,squirt,starry,2,citrus sodas
bore,links,phish,towed,3,animal homophones
tea,tee (golf),tee (shirt),ti (musical note),0,"things that sound like ""t"""
comb,gear,saw,zipper,1,objects with teeth
fudge,geez,nuts,rats,2,mild oaths
bank,bed,delta,mouth,3,parts of a river
paradise,seventh heaven,shangri-la,xanadu,0,utopia
hairspray,magic 8 ball,salad dressing,snowglobe,1,things you shake
jazzercise,paralympics,pokémon,wikipedia,2,proper noun portmanteaux
ketchum,paypal,primate,rosebud,3,ending in synonyms for “friend”
call,dub,label,name,0,give a title to
cruise,takeoff,taxi,touchdown,1,parts of a flight
fish,fumble,root,rummage,2,feel around (for)
inland,olivia,ran,wanda,3,countries minus first letter
consideration,reflection,scrutiny,thought,0,deliberation
flint,lighter,magnifying glass,matches,1,used in starting a fire
microscope,slide,specimen,stain,2,used to view a biological sample
factor,files,games,ray,3,words after “x”
belt,blow,sock,slug,0,punch
sandwich,shoehorn,squeeze,wedge,1,cram
caterpillar,dove,greyhound,puma,2,companies named after animals
indy,mettle,seoul,wrap,3,homophones of music genres
affiliate,associate,equate,relate,0,think of together
bait,chum,fly,lure,1,ways to attract fish
liberty,storm,sun,wings,2,w.n.b.a. teams
bow,fellow,horn,legs,3,long___
perplex,puzzle,stump,vex,0,baffle
hex,jinx,pox,spell,1,curse
buzz,hamm,rex,slinky,2,"“toy story” characters, familiarly"
core,gate,mania,pilled,3,colloquial suffixes
flair,gift,instinct,nose,0,aptitude
face,front,outside,surface,1,exterior
amazon,apple,intuit,oracle,2,tech companies
brim,lime,rhine,yellow,3,___stone
direct,guide,lead,shepherd,0,steer
compass,pine tree,sewing kit,turntable,1,things with needle/s
atlas,echo,helen,pan,2,figures in greek myth
candle,loofah,johnson,toiletries,3,starting with synonyms for lavatory
carmela,junior,meadow,tony,0,sopranos
cuz,grammy,mummy,pop,1,familial nicknames
cookie,count,oscar,snuffy,2,“sesame street” characters
cece,edie,emmy,katie,3,names that sound like two letters
broadcast,declare,herald,trumpet,0,announce
carpentry,croquet,whac-a-mole,xylophone,1,things involving mallets
crocodile,laurel,polo player,swoosh,2,icon embroidered on a polo shirt
alligator,hair,paper,video,3,___ clip
haven,port,retreat,shelter,0,sanctuary
cleats,helmet,jersey,pads,1,football gear
charms,kinder,wonka,york,2,candy names
bird,fallin’,solo,willy,3,“free ___”
jazz,modern,swing,tap,0,dance styles
lift,palm,pocket,swipe,1,steal
ace,crush,nail,rock,2,perform well on
curve,fast,knuckle,screw,3,___ball pitches
endeavor,enterprise,project,venture,0,undertaking
hertz,mole,second,volt,1,units
national,ray,tiger,twin,2,m.l.b. team member
boardwalk,curb,game,silicon,3,first words of hbo shows
credit,praise,recognition,thanks,0,appreciation
cheat,con,fake,quack,1,fraudster
bolt,down,gobble,scarf,2,eat voraciously
fat,giving,super,taco,3,___ tuesday
buggy,erratic,glitchy,spotty,0,not working reliably
bumper,grille,mirror,rim,1,car parts
baby,house,pet,plant,2,what a sitter might sit
boy,rubber,tribute,wedding,3,___ band
bonus,equity,promotion,raise,0,good things to get at work
discount,forget,ignore,overlook,1,disregard
animal,club,goldfish,ritz,2,kinds of crackers
eloise,plaza,pug,turtle,3,featured in “eloise”
earn,land,score,win,0,attain
crowd,flock,host,sea,1,large group
anchor,bow,bridge,deck,2,parts of a ship
expansive,light,masculine,yang,3,associated principles in chinese philosophy
heave,lurch,pitch,reel,0,careen
idea,person,place,thing,1,what a noun might be
ambient,house,jungle,trance,2,electronic dance music genres
blond,tray,tree,wednesday,3,words after “ash”
account,chronicle,description,story,0,telling of events
gum,latex,resin,sap,1,secreted by trees
ball-in-cup,corn dog,cotton swab,lollipop,2,things on sticks
balance sheet,checkers,licorice,roulette,3,black or red
attention,coverage,exposure,press,0,publicity
angle,lens,perspective,position,1,point of view
meet,slack,teams,zoom,2,work communication platforms
fantasy,love,shutter,treasure,3,“___ island”
flannel,oxford,polo,tee,0,kinds of shirts
boba,bubble,pearl,tapioca,1,spheres in milk tea
coral,jelly,sponge,star,2,"marine invertebrates, familiarly"
fett,penn,torte,zit,3,starts of pasta names
bark,bay,howl,snarl,0,sound like a dog
air,play,run,stream,1,"broadcast, as online media"
garnish,muddle,stir,strain,2,cocktail-making verbs
chain,ladder,pyramid,tree,3,"organizational structures, metaphorically"
concentration,field,focus,speciality,0,area of expertise
face,fingerprint,password,pin,1,ways to unlock a device
ear,elbow,ribbon,wheel,2,pasta shapes
agent,dribble,jeopardy,standard,3,double ____
comb,dryer,hairspray,rollers,0,used in hair care
gas,internet,phone,rent,1,monthly expenses
dalmatian,die,domino,ladybug,2,things with spots
fiddler,hermit,horseshoe,spider,3,___ crab
association,guild,league,union,0,alliance
clingy,sleek,slinky,snug,1,close-fitting
apology,dubbing,prayer,proposal,2,occasions when one might kneel
contraction,foot,possessive,quotation,3,what an apostrophe might indicate
cap,cover,plug,seal,0,things that prevent leaks
beret,derby,pillbox,snapback,1,kinds of hats
gator,sooner,volunteer,wolverine,2,college football team members
bananas,commando,figure,rogue,3,go ___
crack,hole,leak,puncture,0,fissure
letter,phrase,sentence,word,1,elements of writing
jug,pipe,recorder,whistle,2,instruments you blow into
nick,passage,sands,waste,3,___ of time
drain,empty,exhaust,sap,0,deplete
groove,jam,rock,shred,1,play music with passion
tax,tip,total,signature,2,words on a restaurant receipt
cube,grain,powder,syrup,3,forms of sugar
canary,lemon,minion,mustard,0,things that are yellow
addition,annex,extension,wing,1,building add-ons
calculus,cavity,plaque,tartar,2,concerns for a dentist
colonel,pharaoh,wednesday,worcestershire,3,words that seem longer written than spoken
bellyache,carp,crab,grumble,0,complain
clove,floret,spear,stalk,1,vegetable units
ram,resolution,speed,storage,2,laptop specs
blindfold,robe,scales,sword,3,features of justice personified
crunch,dove,mars,payday,0,candy bars
core,meat,substance,thrust,1,gist
demi,push-up,sports,wireless,2,kinds of bras
big,early,lady,sue,3,___ bird
cask,cylinder,drum,tank,0,barrel-shaped container
pilot,usher,shepherd,steer,1,guide
cowboy,jet,ram,raven,2,n.f.l. team member
golfer,pendulum,saloon doors,swing,3,things that swing
bent,gnarly,twisted,warped,0,contorted
lick,ounce,shred,trace,1,smallest amount
exponent,power,radical,root,2,algebra terms
bath,powder,rest,throne,3,words before “room” to mean lavatory
antic,caper,exploit,stunt,0,escapade
dill,kosher,sour,sweet,1,kinds of pickles
adult,blue,spicy,suggestive,2,risqué
cheese,cord,deck,mustard,3,cut the ___
hash,salad,scramble,stew,0,food-related jumbles
character,image,name,reputation,1,public standing
artist,medium,title,year,2,info on a museum placard
dial,egads,monte,yoga,3,anagrams of famous painters
pause,play,record,stop,0,dvr buttons
different,new,novel,original,1,groundbreaking
correspond,message,text,write,2,communicate through writing
biped,furniture,poem,yardstick,3,things with feet
caterpillar,fleece,peach,pipe cleaner,0,things that are fuzzy
clam,egg,nut,turtle,1,things with shells
donkey,dragon,ogre,princess,2,figures in “shrek”
carpet,kingdom,marker,mushroom,3,magic ___
furnish,outfit,provision,stock,0,equip
being,character,ego,self,1,individuality
chest,console,vanity,wardrobe,2,furniture
cant,id,shell,were,3,words with apostrophes removed
moving,sweet,tender,touching,0,heartwarming
feeling,hunch,impression,sense,1,sneaking suspicion
hearing,inquiry,proceeding,trial,2,legal session
chair,listening,money,street,3,easy ___
counter,fridge,range,sink,0,seen in a kitchen
board,cabinet,council,panel,1,group of advisors
boat,crunch,mountain climber,plank,2,core exercises
chandelier,drop,hoop,stud,3,kinds of earrings
crawl,creep,drag,inch,0,progress slowly
bottle,can,draft,tap,1,ways to order a beer
ball,curl,doodle,puff,2,cheesy corn snack unit
butterfly,domino,halo,placebo,3,___ effect
darling,love,pumpkin,treasure,0,terms of endearment
bat,blink,flutter,wink,1,things you can do with your eyelids
diablo,mustang,spider,viper,2,sports cars
egg,job,scavenger,witch,3,___ hunt
boom,rise,spike,surge,0,upswing
dolly,rollerblade,skateboard,wagon,1,things with wheels
duct,electrical,gaffer,packing,2,kinds of tape
best boy,idea,kroner,stables,3,retail chains with a letter changed
mint,new,original,unused,0,in pristine condition
attending,fellow,intern,resident,1,medical roles
countryman,ear,friend,roman,2,singular noun in a famous “julius caesar” line
perfect,pocket,times,town,3,___ square
audible,pandora,shazam,tidal,0,audio apps
mean,signify,spell,suggest,1,indicate
cherish,have,hold,love,2,church of england wedding vow verbs
abracadabra,please,presto,thank you,3,magic words
cute,fresh,smart,wise,0,sassy
air,mood,feeling,quality,1,ambience
bar,bel,lux,mole,2,units
mermaid,prince,rascals,tramp,3,the little ___
faze,rattle,ruffle,throw,0,fluster
chain,chat,conversation,thread,1,series of messages
cradle,hammock,rocker,swing,2,places to lie/sit that move
can,roller,silo,spool,3,cylinder-shaped things
dot,period,point,tittle,0,•
ball,formal,hop,rave,1,event with dancing
exclamation points,heart,question mark,thumbs up,2,iphone message tapback responses
bad review,camera movement,cookware,satyr,3,“pan”
bill,program,schedule,slate,0,lineup
audio,cooking,games,news,1,nyt offerings
airplane,crane,fan,fortune teller,2,things made by folding paper
adieu,belle,pain,temps,3,french words
cab,jacket,journalism,pages,0,yellow ___
beret,goblin,salad,thumb,1,green ___
jay,jeans,moon,whale,2,blue ___
haze,heart,prose,rain,3,purple ___
designer,haute,high-end,luxury,0,brand-name
concoct,engineer,hatch,mastermind,1,devise
galileo,pioneer,viking,voyager,2,nasa spacecraft
bingo,marco polo,tag,uno,3,games where you say the game’s name
kidney,mung,navy,pinto,0,kinds of beans
draw,grab,hook,pull,1,attract
drive,low,neutral,reverse,2,automatic gear shifter positions
car,dead,liver,whirl,3,___pool
article,column,feature,story,0,bit of newspaper writing
clatter,racket,row,ruckus,1,noisy disturbance
ball,net,paddle,table,2,table tennis needs
butt,fore,oar,sew,3,homophones of coordinating conjunctions
generate,inspire,prompt,provoke,0,bring about
candle,incense,lotion,soap,1,things that are often scented
insult,jellyfish,nettle,wasp,2,things that might sting
civilization,halo,madden,metroid,3,video game franchises
bust,dud,flop,miss,0,clunker
chance,shot,time,turn,1,opportunity
card,charge,credit,plastic,2,non-cash way to pay
kindle,prime,rainforest,river,3,amazon ___
green,lawn,park,yard,0,grassy area
address,answer,field,handle,1,deal with
car,goodfella,jaw,swinger,2,movies with “s” removed
criminal,harvard,lemon,natural,3,___ law
eventually,later,next,soon,0,at some future point
bracket,bye,round,seed,1,parts of a tournament setup
cheerio,flake,pebble,puff,2,bit of breakfast cereal
peace,scissors,two,victory,3,what the outstretched index and middle fingers can represent
center,guard,quarterback,safety,0,football positions
discovery,history,nickelodeon,oxygen,1,cable channels
homey,joker,pennywise,ronald,2,fictional clowns
defense,democrat,dimensional,drive,3,what “d” might stand for
comb,dig,root,sift,0,rummage
clap,peal,roll,rumble,1,sounds of thunder
bun,braid,pony,twist,2,ways to wear your hair up
book,salad,table,tree,3,things that can have leaves
claw,hoof,horn,nail,0,made of keratin
anvil,boulder,coyote,tnt,1,road runner cartoon staples
capri,cargo,hammer,stirrup,2,kinds of pants
california,drum,egg,honor,3,___ roll
scarf,shawl,stole,wrap,0,draped accessories
bear,stand,swallow,take,1,tolerate
coo,gobble,honk,hoot,2,bird onomatopoeia
app,goo,motor,sam,3,starts of cell phone makers
relish,savor,treasure,value,0,cherish
dip,dive,splash,swim,1,quick jump in the pool
bonus,extra,frosting,gravy,2,additional benefit
brass,cheek,nerve,sauce,3,brashness
arm,eye,hip,leg,0,body parts
bad,fly,ill,rad,1,"cool, in ’80s slang"
big,elf,her,saw,2,movies
doe,far,sew,tea,3,words in “do-re-mi”
bubbles,fizz,foam,froth,0,effervescence
blossom,develop,mature,progress,1,burgeon
billboard,mojo,pitchfork,spin,2,music publications
boilerplate,buttercup,jackknife,witherspoon,3,ending with tableware
bat,pumpkin,spider,witch,0,halloween symbols
ban,block,deny,forbid,1,prohibit
accidental,note,rest,staff,2,found on sheet music
apple,bar,cane,corn,3,candy ___
ding-dong,dodo,yahoo,yo-yo,0,knucklehead
beep beep,purr,skrrt,vroom,1,car onomatopoeia
har-har,hoot,whoop,yuk,2,sounds of laughter
bubbles,george,king kong,koko,3,famous primates
flee,leave,retreat,withdraw,0,turn tail
knead,purr,scratch,shed,1,things cats do
about,contact,home,login,2,pages on a website
cottage,cream,goat,string,3,___ cheese
filet,hanger,skirt,t-bone,0,steak cuts
bikini,g-string,hipster,thong,1,kinds of underwear
drill,sink,toothbrush,x-ray,2,involved in a dentist visit
chapstick,jacuzzi,q-tip,xerox,3,brands that have become generic terms
dent,dimple,ding,divot,0,concavity
dab,dash,dollop,drop,1,small amount
daisy,dale,doc,dory,2,disney characters
delivery,dinner,dream,due,3,___ date
juice,milk,punch,soda,0,beverages
fertilize,pot,prune,water,1,care for a plant
bookend,earbud,ski,sock,2,item sold in pairs
blouse,pant,smite,stick,3,bugs plus starting letter
bet,chance,gamble,risk,0,put on the line
cube,dice,julienne,slice,1,use a kitchen knife
casino,heat,joker,taxi driver,2,robert de niro films
octopus,shiva,slot machine,venus de milo,3,distinctive number of arms (or lack thereof)
lather,stew,sweat,tizzy,0,flustered state
condition,form,health,shape,1,fitness
cascade,current,rapid,wave,2,fast-moving water
normal,quick,rinse,sanitize,3,dishwasher cycles
blanch,boil,poach,steam,0,cook with heat and water
ambergris,musk,rose,vanilla,1,common perfume ingredients
charlie,dorothy,shaggy,wallace,2,characters with pet dogs
keto,roam,sophia,soul,3,capital city homophones
fulfill,honor,keep,uphold,0,"make good on, as a promise"
blanket,sham,sheet,throw,1,bedding
discard,draw,pass,play,2,actions in card games
energy,justice,labor,state,3,cabinet departments
blend,compound,cross,hybrid,0,composite
lodge,plant,stick,wedge,1,embed
deed,hotel,house,token,2,items in a monopoly box
birth,cruise,quality,remote,3,___ control
bank,dune,hill,mound,0,area of high ground
gravity,import,substance,weight,1,significance
bench,draft,start,trade,2,actions in fantasy sports
abyss,fly,matrix,thing,3,"sci-fi movies, with “the”"
border,frill,fringe,trim,0,decorative edge
grow,mount,swell,wax,1,"increase, in a way"
dry,neat,straight,virgin,2,specifications for a bartender
bean,bikini,cheese,theory,3,string ___
hat trick,threepeat,trifecta,triple crown,0,trio of sports achievements
drop cloth,paint,roller,tape,1,needs for painting a room
broil,cheesesteak,sprouts,wings,2,food named after cities
demolition,home run,kentucky,soap box,3,___ derby
creative,fresh,novel,original,0,inspired
book,charter,reserve,secure,1,procure in advance
balloon,banner,confetti,garland,2,bit of party decoration
ambassador,influencer,model,streamer,3,online personality
bumpy,rough,rugged,uneven,0,"not smooth, as terrain"
bed,parcel,patch,plot,1,bit of land for growing
chip,rocky,scratchy,stitch,2,member of a cartoon duo
amusement,national,parallel,south,3,___ park
grayscale,neon,neutral,pastel,0,color types
new,open,print,save,1,file menu options
drawing,lottery,pool,raffle,2,chance to win a prize
alloy,sculpture,suntan,third,3,what “bronze” might mean
medium,mystic,oracle,psychic,0,clairvoyant
collectible,exclusive,limited,rare,1,special edition adjectives
impressive,nice,props,well done,2,“great job!”
awful,bloody,real,way,3,extremely
figure,imagine,suspect,think,0,presume
character,individual,party,person,1,somebody
boba,chewie,emperor,solo,2,"characters in “the empire strikes back,"" familiarly"
cat,corner,hawk,litter,3,words after “kitty”
extra,hyper,over,super,0,prefix meaning “very”
birthday,cocktail,dinner,surprise,1,kinds of parties
frontline,nature,nova,masterpiece,2,pbs shows
angers,champagne,nice,reunion,3,places in france
deck,porch,stoop,yard,0,gathering spot outside a residence
dish,dope,info,scoop,1,lowdown
blooper,demo,highlight,sizzle,2,kinds of reels
droop,goof,lad,snoop,3,cartoon dogs minus “y”
amp,fire,hype,psych,0,"get excited, with ""up"""
flat,mule,pump,slide,1,kinds of shoes
chair,leader,speaker,whip,2,legislative roles
dug,matte,mic,peat,3,name homophones
chief,premier,principal,supreme,0,foremost
cactus,hedgehog,mace,pineapple,1,spiky things
cheese,corn,mush,pap,2,overly sentimental work
bottle,graduate,mushroom,salary,3,things that are capped
dwell,inhabit,live,stay,0,reside
decline,drop,dwindle,ebb,1,decrease
clown,dweeb,sap,turkey,2,doofus
dwarf,sea,sin,wonder,3,member of a septet
grape,region,vintage,winery,0,wine bottle info
button,knob,slider,switch,1,console inputs
pro,retro,sub,super,2,prefixes
burger,california,lion,prom,3,___ king
energy,juice,life,zip,0,vitality
level,pep,refer,tenet,1,palindromes featuring “e”
beans,cow,giant,jack,2,featured in “jack and the beanstalk”
beetle,civic,focus,volt,3,car models
bookmark,favorite,like,save,0,mark online for later
advantage,benefit,interest,sake,1,behalf
bird,curry,kobe,magic,2,"nba legends, familiarly"
biota,feta,mochi,pepsi,3,ending with greek letters
bundle,fortune,mint,pile,0,large amount of money
kernel,nugget,pearl,tidbit,1,bits of wisdom
amber,dinosaur,paleontologist,mosquito,2,featured in “jurassic park”
amethyst,eggplant,grimace,lavender,3,things that are purple
kinds,sorts,stripes,types,0,varieties
deliver,hand,give,pass,1,transfer
a-f,percentage,stars,thumbs,2,ratings systems
checkers,deck of cards,monarchy,nhl,3,things with kings
blush,burn,flush,glow,0,get red in the face
consecutive,nonstop,solid,straight,1,continuous
flight,platter,sampler,tasting,2,flavor assortment
blossom,coach,community,full house,3,sitcoms
bake,beat,frost,preheat,0,verbs in a cake recipe
pound,pump,race,throb,1,what a heart does when excited
bishop,pastor,prior,pope,2,ecclesiastical titles
bad,beach,hardy,pet shop,3,___ boys
crop,flip,rotate,scale,0,ways to transform an image
ball,driver,glove,tee,1,things used in golf
filter,pump,rocks,tank,2,aquarium purchases
coach,godiva,mustang,polo,3,logos with horses
amount,count,number,total,0,quantity
affair,episode,event,matter,1,incident
bill,card,catalog,letter,2,things received in the mail
bounce,coil,geyser,season,3,what “spring” might refer to
blowout,color,cut,trim,0,hair salon offerings
bash,blast,pan,slam,1,criticize
bag,land,score,snag,2,obtain
attempt,reception,sack,yard,3,measured in football stats
hint,touch,trace,shred,0,very small amount
bed,bowl,collar,crate,1,puppy purchases
cater,host,throw,plan,2,help put on a party
brace,caret,hash,star,3,symbols on a keyboard
excuse,pardon,save,spare,0,absolve
beyond,extra,over,too,1,excessively
pound,real,won,yen,2,global currencies
arrow,block,fore,knuckle,3,___head
curious,funny,off,weird,0,peculiar
job,position,post,station,1,assignment
coin,comic,record,stamp,2,classic collection items
letter,mail,reaction,store,3,chain ___
brown,char,grill,sear,0,cook in a pan
anvil,canal,drum,hammer,1,parts of the ear
charcoal,jet,raven,sable,2,shades of black
golf bag,limousine,movie set,toolbox,3,where you might find “a driver”
arts,business,comics,sports,0,newspaper sections
bark,crown,rings,roots,1,tree features
chef,garden,greek,wedge,2,kinds of salad
eagle,monticello,shield,torch,3,seen on backs of u.s. coins
diamond,glitter,gold,sequin,0,sparkling things
box,dive,fence,row,1,participate in summer olympic events
gardens,lighthouse,pyramid,temple,2,wonders of the world
cream,cube,machine,storm,3,ice ___
electronic,grand,player,upright,0,kinds of pianos
consider,count,judge,regard,1,deem
brown,duke,howard,smith,2,u.s. colleges/universities
gamble,johnson,noble,young,3,second names in companies with ampersands
monkey bars,slide,swings,teeter-totter,0,playground equipment
pendulum,tea bag,tetherball,yo-yo,1,found at the end of a string/cord
desert,humor,martini,teetotaler,2,described as dry
blues,boomer,steps,teeth,3,baby ___
boom,crash,roar,thunder,0,explosive sound
fire,heat,kick,spice,1,chili pepper quality
brush,cape,clippers,gel,2,classic barbershop supplies
baseball,magic,set,tarot,3,kinds of cards
approval,blessing,consent,support,0,official sanctioning
bagel,lifesaver,tire,wreath,1,torus-shaped things
hook,shank,slice,whiff,2,bad golf shots
loaf,slip,sneak,wade,3,footwear minus “er” sound
boiling,fuming,livid,steaming,0,hopping mad
position,ranking,standing,station,1,status
air,conditioning,heating,ventilation,2,words that make up the acronym “hvac”
baking,laundry,origami,poker,3,activities that involve folding
rumbling,speculation,talk,whispers,0,hearsay
creep,slip,steal,tiptoe,1,move stealthily
budget,enterprise,national,thrifty,2,car rental companies
environ,jargon,latin,plead,3,ending with chemical elements
display,monitor,screen,terminal,0,visual interface
boa,corset,fan,gloves,1,burlesque wear
buff,cream,fawn,tan,2,beige shades
bask,check,finish,tie,3,language homophones
projector,reel,screen,speaker,0,classic movie theater equipment
deck,floor,level,story,1,tier
globe,mirror,post,sun,2,newspaper names
egg,moon,streak,toilet paper,3,prank verbs
cake,coat,plaster,smear,0,cover with a thick layer
balloon,basketball,floatie,tire,1,things that are inflated
bar,bubble,line,pie,2,kinds of charts
fizz,punch,sling,sour,3,classic cocktail types
blow,draft,gust,puff,0,rush of wind
crank,reel,turn,wind,1,rotate
bull,crab,lion,ram,2,zodiac symbols
cat,grinch,pop,turtle,3,dr. seuss title figures
blues,country,folk,rock,0,music genres
brat,bun,mustard,sauerkraut,1,bratwurst go-withs
chair,mountain,tree,warrior,2,yoga poses
coconut,soulmate,updo,wallet,3,starting with pixar movies
alarm,hour,snooze,time set,0,alarm clock buttons
perhaps,say,suppose,what if,1,“here’s a thought ...”
kiss,nerd,runt,whopper,2,candy pieces
do,dope,grump,sleep,3,seven dwarfs minus last letter
dialect,language,speech,tongue,0,spoken communication
french,kiss,make out,neck,1,canoodle
bandage,dressing,scissors,tape,2,first aid kit items
cottage,craftsman,prairie,ranch,3,house styles
average,fair,ok,so-so,0,meh
hi,ma,or,pa,1,u.s. state abbreviations
ankle,cowboy,go-go,thigh-high,2,kinds of boots
elevator,sun,tide,yo-yo,3,things that go up and down
extent,range,reach,scope,0,breadth
complement,match,mate,partner,1,other half
bud,natty,sierra,stella,2,"beers, familiarly"
check,dirt,pal,phone,3,words after “pay”
boo-boo,flub,gaffe,goof,0,blunder
daisy,jasmine,petunia,poppy,1,flowers
buzz,dance,pollinate,sting,2,things bees do
babe,lou,mickey,yogi,3,first names of yankees legends
said,spoke,told,voiced,0,stated
designation,handle,moniker,sobriquet,1,nickname
clear,marked,pronounced,striking,2,obvious
porter,power,rough,wheel,3,___house (that aren’t houses)
gold,lead,mercury,tin,0,metal elements
full,king,queen,twin,1,mattress sizes
can,head,john,throne,2,slang for toilet
bowie,butcher,butter,butterfly,3,kinds of knives
barge,craft,ship,vessel,0,large boat
best,champ,goat,legend,1,all-time great
about,concerning,on,toward,2,regarding
hare,i,mussel,naval,3,homophones of body features
devil,mars,rose,strawberry,0,things that are red
function,operate,run,work,1,be in commission
edge,office,teams,windows,2,microsoft products
blonde,jobs,milk,vice,3,biopics
absent,elsewhere,gone,mia,0,not present
advocate,champion,cheerleader,exponent,1,supporter
glam,goth,metal,punk,2,rock genres
horror,jock,value,wave,3,shock ___
backflip,bellyflop,cannonball,jackknife,0,splashy ways to enter a pool
echo,parrot,repeat,quote,1,reiterate
anchor,backbone,cornerstone,pillar,2,mainstay
ham,pirate,satellite,talk,3,___ radio
jam,pack,ram,stuff,0,cram
cook,dishwasher,host,server,1,restaurant jobs
microwave,radio,visible,x-ray,2,electromagnetic spectrum
bridle,byte,comedian,drill,3,things with bits
cloud,cotton ball,dandelion,sheep,0,fluffy white things
guinea pig,participant,subject,volunteer,1,one in a research study
disapprove,mind,object,protest,2,take issue
bull,fog,matter,shoe,3,___horn
get by,hack it,make do,manage,0,survive
birthday,congratulations,get well,thank you,1,kinds of greeting cards
capisce,get it,see,understand,2,are we clear?
candy,contact,shadow,witness,3,words after “eye”
buddy,champ,sport,tiger,0,kiddo
amenable,down,game,willing,1,up for it
aardvark,eerie,llama,ooze,2,beginning with double letters
blue,briny,deep,drink,3,"nicknames for the sea, with “the”"
high,kick,rush,thrill,0,bit of excitement
bear,stand,stomach,take,1,tolerate
baloney,bull,bunk,tripe,2,nonsense
heels,mouse,remote,tongue,3,things to click
strain,tax,test,try,0,"stretch, as one’s patience"
mix,sample,scratch,spin,1,things a dj does
direct,irregular,possessive,present,2,adjectives used in grammar
ecological,jealous,lush,nauseous,3,what “green” might mean
hype,market,pitch,sell,0,promote
cast,chuck,fling,hurl,1,throw
fiction,humor,romance,travel,2,bookstore sections
ankle,crew,sweat,tube,3,___ socks
gruff,hoarse,husky,rough,0,raspy
little,middle,pointer,ring,1,fingers
amber,porter,sour,stout,2,ale styles
bulldog,fry,horn,kiss,3,french ___
neat,nifty,super,swell,0,peachy keen
elaborate,expand,explain,specify,1,provide more details
facility,flair,gift,knack,2,ability to do something well
block,complex,compound,development,3,group of buildings
arena,bowl,coliseum,dome,0,stadiums
alley,court,drive,lane,1,street suffixes
fish,justice,libra,solfege,2,associated with scales
fountain,gutter,teapot,whale,3,things with spouts
cover,jacket,page,spine,0,parts of a book
calico,tabby,tortoiseshell,tuxedo,1,cat coat patterns
butterfly,jitter,nerve,willy,2,"nervousness, in the singular"
beethoven,cornucopia,kaleidoscope,peacock,3,starting with vegetables
aside,detour,digression,tangent,0,off-topic remarks
bear,generate,produce,yield,1,"create, as results"
babe,fox,snack,ten,2,hottie
are,radius,reverse,right,3,"words represented by the letter ""r"""
down,left,right,up,0,basic directions
back,champion,endorse,support,1,advocate for
con,ding,minus,strike,2,drawback
base,liar,loot,symbol,3,instrument homophones
clay,papyrus,parchment,wax,0,ancient writing surfaces
anchor,host,moderate,present,1,"lead, as a tv program"
faculty,flair,instinct,talent,2,natural ability
burrito,gift,mummy,sprain,3,wrapped things
kid,razz,rib,tease,0,joke around with
breast,tender,thigh,wing,1,poultry cuts
calf,cub,fawn,kit,2,baby animals
barge,jostle,muscle,shoulder,3,push through a crowd
charlatan,fraud,quack,sham,0,impostor
noise,peep,sound,word,1,utterance
ham,hot dog,peacock,showboat,2,one who likes showing off
bug,pork,speed,tweet,3,looney tunes characters minus a letter
area,domain,field,sphere,0,realm of expertise
fiddle,horn,recorder,triangle,1,musical instruments
barrier,cone,flag,flare,2,used to redirect traffic
chain,fight,processor,pyramid,3,food ___
campaign,canvass,organize,stump,0,ways to support a candidate
composition,fabric,makeup,structure,1,constitution
clamp,file,level,saw,2,carpentry tools
log,max,mod,tan,3,math abbreviations
fluid,graceful,natural,smooth,0,effortless
effort,labor,sweat,work,1,exertion
battery,charge,juice,power,2,energy for an electronic device
burst,dad,mainstream,soda,3,what “pop” might mean
flame,lover,steady,sweetheart,0,romantic partner
burn,dig,jab,slight,1,insult
diesel,plus,premium,regular,2,gas pump options
coffee,periodic,pool,water,3,___ table
court,plaza,square,yard,0,open space
bout,contest,match,round,1,boxing unit
dazzle,flash,pomp,ritz,2,glitziness
fire,heart,skull,sparkles,3,emoji
bank,laundromat,post office,supermarket,0,buildings around town
check,curb,hamper,inhibit,1,hinder
pack,pride,school,swarm,2,animal group names
bide,cart,nix,washing,3,starts of u.s. presidents
cross,short,surly,testy,0,in a bad mood
